Date,Company Name,Price,Market Cap
2022-12-25,Spaj Industries,1000,15000
2022-12-25,EKI Energy,1164.85,3203.95
2022-12-25,Supreme Petroch.,741.90,6975.39
2022-12-25,Share India Sec.,1148.35,3663.99
2022-12-25,Godawari Power,316.35,4458.79
2022-12-25,Balaji Amines,2631.90,8527.62
2022-12-25,Jindal Stain. Hi,368.40,8691.83
2022-12-25,Aditya AMC,436.50,12571.20
2022-12-25,Deepak Nitrite,1888.30,25755.10
2022-12-25,Sonata Software,535.05,7502.06
2022-12-25,Rajratan Global,783.10,3975.88
2022-12-25,NMDC,111.55,32690.91
2022-12-25,Lloyds Metals,207.70,9239.00
2022-12-25,Mastek,1619.10,4870.92
2022-12-25,Guj.St.Petronet,254.05,14333.79
